id,name,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"0yisH8r0f3Mkq34kjzUlCV","Blank Space - Voice Memo","1989 (Deluxe Edition)",5,1,0,1,0,0
"2yLa0QULdQr0qAIvVwN6B5","...Ready For It?","reputation",6,0,1,0,0,0
"2x0WlnmfG39ZuDmstl9xfX","End Game","reputation",6,0,1,0,0,0
"4svZDCRz4cJoneBpjpx8DJ","I Did Something Bad","reputation",6,0,0,0,0,0
"1R0a2iXumgCiFb7HEZ7gUE","Don’t Blame Me","reputation",6,0,0,0,0,0
"6NFyWDv5CjfwuzoCkw47Xf","Delicate","reputation",6,0,1,0,0,0
"1P17dC1amhFzptugyAO7Il","Look What You Made Me Do","reputation",6,0,1,0,0,0
"5PxFv9yJEg9dxvbZggykro","So It Goes...","reputation",6,0,0,0,0,0
"1ZY1PqizIl78geGM4xWlEA","Gorgeous","reputation",6,0,0,0,0,0
"0VE4kBnHJUgtMf0dy6DRmW","Getaway Car","reputation",6,0,1,0,0,0
"7HuBDWi18s4aJM8UFnNheH","King Of My Heart","reputation",6,0,0,0,0,0
"7I7JbDv63ZJJsSi24DyJrz","Dancing With Our Hands Tied","reputation",6,0,0,0,0,0
"6oVxXO5oQ4pTpO8RSnkzvv","Dress","reputation",6,0,0,0,0,0
"07NxDD1iKCHbAldceD7QLP","This Is Why We Can't Have Nice Things","reputation",6,0,0,0,0,0
"1GwMQaZz6Au3QLDbjbMdme","Call It What You Want","reputation",6,0,0,0,0,0
"7F5oktn5YOsR9eR5YsFtqb","New Year’s Day","reputation",6,0,1,0,0,0
"43rA71bccXFGD4C8GOpIlN","I Forgot That You Existed","Lover",7,0,0,0,0,0
"1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","Lover",7,0,0,0,0,0
"1dGr1c8CrMLDpV6mPbImSI","Lover","Lover",7,0,1,0,0,0
"3RauEVgRgj1IuWdJ9fDs70","The Man","Lover",7,0,1,0,0,0
"3pHkh7d0lzM2AldUtz2x37","The Archer","Lover",7,0,0,0,0,0
"2YWtcWi3a83pdEg3Gif4Pd","I Think He Knows","Lover",7,0,0,0,0,0
"214nt20w5wOxJnY462klLw","Miss Americana & The Heartbreak Prince","Lover",7,0,0,0,0,0
"4y5bvROuBDPr5fuwXbIBZR","Paper Rings","Lover",7,0,0,0,0,0
"12M5uqx0ZuwkpLp5rJim1a","Cornelia Street","Lover",7,0,0,0,0,0
"2dgFqt3w9xIQRjhPtwNk3D","Death By A Thousand Cuts","Lover",7,0,0,0,0,0
"1LLXZFeAHK9R4xUramtUKw","London Boy","Lover",7,0,0,0,0,0
"4AYtqFyFbX0Xkc2wtcygTr","Soon You’ll Get Better (feat. The Chicks)","Lover",7,0,0,0,0,0
"5hQSXkFgbxjZo9uCwd11so","False God","Lover",7,0,0,0,0,0
"6RRNNciQGZEXnqk8SQ9yv5","You Need To Calm Down","Lover",7,0,1,0,0,0
"1SymEzIT3H8UZfibCs3TYi","Afterglow","Lover",7,0,0,0,0,0
"2Rk4JlNc2TPmZe2af99d45","ME! (feat. Brendon Urie of Panic! At The Disco)","Lover",7,0,1,0,0,0
"1SmiQ65iSAbPto6gPFlBYm","It’s Nice To Have A Friend","Lover",7,0,0,0,0,0
"1fzAuUVbzlhZ1lJAx9PtY6","Daylight","Lover",7,0,0,0,0,0
"4pfrrhvplbJZAIsfosGWQP","the 1","folklore (deluxe version)",8,0,0,0,0,0
"0KRYCBwIpWYFNrXOmXbyUh","cardigan","folklore (deluxe version)",8,0,1,0,0,0
"2olxzvoFI9IpxqFeUv7WOX","the last great american dynasty","folklore (deluxe version)",8,0,0,0,0,0
"5S4aYQAJOwJMAamANWlICO","exile (feat. Bon Iver)","folklore (deluxe version)",8,0,1,0,0,0
"5P2bHCDM2tsgIaYWsZMhu5","my tears ricochet","folklore (deluxe version)",8,0,0,0,0,0
"2I8YAEA1VmCuP1wkJHMpTw","mirrorball","folklore (deluxe version)",8,0,0,0,0,0
"76mOLcXOjOEhyY4mMF1l3r","seven","folklore (deluxe version)",8,0,0,0,0,0
"6nK2pIKFcRc5frrZKHgsiT","august","folklore (deluxe version)",8,0,0,0,0,0
"7cm50Lw03k6VvRauJtkyTj","this is me trying","folklore (deluxe version)",8,0,0,0,0,0
"6DrLROM5MG9bxWHeEG5elq","illicit affairs","folklore (deluxe version)",8,0,0,0,0,0
"2ehRU518I0hYqMGQnk4lDY","invisible string","folklore (deluxe version)",8,0,0,0,0,0
"0RP1kqoSPkVXsKiQNhMKzV","mad woman","folklore (deluxe version)",8,0,0,0,0,0
"1EXa37LpSvi3OQ9UYQ28rD","epiphany","folklore (deluxe version)",8,0,0,0,0,0
"3IhtE4fkytdrtEfV34UzkD","betty","folklore (deluxe version)",8,0,1,0,0,0
"6JlI8Ay77m4nJvZTHvfT1J","peace","folklore (deluxe version)",8,0,0,0,0,0
"0YeDG5HnKnG7jpArkzsSPa","hoax","folklore (deluxe version)",8,0,0,0,0,0
"0eFQWVz0qIxDOvhLpZ40P7","the lakes - bonus track","folklore (deluxe version)",8,0,0,1,0,0
"2gVhfX2Gy1T9kDuS9azrF7","willow","evermore (deluxe version)",9,0,1,0,0,0
"1gcyHQpBQ1lfXGdhZmWrHP","champagne problems","evermore (deluxe version)",9,0,0,0,0,0
"3Dby3p1m6IOZn2gIIqECgK","gold rush","evermore (deluxe version)",9,0,0,0,0,0
"6sQckd3Z8NPxVVKUnavY1F","‘tis the damn season","evermore (deluxe version)",9,0,0,0,0,0
"6lCvK2AR2uOKkVFCVlAzzm","tolerate it","evermore (deluxe version)",9,0,0,0,0,0
"6uwfVkaOM1mcMkFmSn35ix","no body, no crime (feat. HAIM)","evermore (deluxe version)",9,0,1,0,0,0
"55Vf4bimc1Rtfg0PAQRAo2","happiness","evermore (deluxe version)",9,0,0,0,0,0
"66tOfHVH3aUrscg8vExRV4","dorothea","evermore (deluxe version)",9,0,0,0,0,0
"2awNGIJHodfLZSClB3PYhz","coney island (feat. The National)","evermore (deluxe version)",9,0,1,0,0,0
"43Ykum9T72UOPhBN31grpN","ivy","evermore (deluxe version)",9,0,0,0,0,0
"52OkpDsU6MmPx1AwGOb6Ap","cowboy like me","evermore (deluxe version)",9,0,0,0,0,0
"5VYWxXUpxuxEmCqMLDqICo","long story short","evermore (deluxe version)",9,0,0,0,0,0
"5uICWmZTLkpEVbK22PBP6e","marjorie","evermore (deluxe version)",9,0,0,0,0,0
