id,name,peak,album,albumIndex,isAltVersion,isSingle,isBonus,isVault,isTv
"6cf6rLb8qcklvJv90W6HCW","Girl At Home",0,"Red (Deluxe Edition)",4,0,0,1,0,0
"7BT9K9BDqq6HI2oWH5UMZQ","Treacherous",0,"Red (Deluxe Edition)",4,1,0,1,0,0
"4mqgn90sCeVSYqcoftTQTd","Red",6,"Red (Deluxe Edition)",4,1,0,1,0,0
"5G9AVKld9q7DCrmoY42raf","State Of Grace",13,"Red (Deluxe Edition)",4,1,0,1,0,0
"33Kq0AT5rvwyE4azisG08x","Welcome To New York",48,"1989 (Deluxe Edition)",5,0,0,0,0,0
"2sC2P3BN0IXujNaaSyDmtP","Blank Space",1,"1989 (Deluxe Edition)",5,0,1,0,0,0
"1fo2ctLqj3zBhRQKOXprol","Style",6,"1989 (Deluxe Edition)",5,0,1,0,0,0
"6Nde5KuTXyB7jlPO4upaBo","Out Of The Woods",18,"1989 (Deluxe Edition)",5,0,1,0,0,0
"0lmMtDQ2ElasKU2qDAE6NN","All You Had To Do Was Stay",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"3fthfkkvy9av3q3uAGVf7U","Shake It Off",1,"1989 (Deluxe Edition)",5,0,1,0,0,0
"1B5VzXPqMlvRw0U4HJY3dJ","I Wish You Would",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"0yN4fNzmVnmgC0dsOoi9Wh","Bad Blood",1,"1989 (Deluxe Edition)",5,0,1,0,0,0
"106R7Z57WYzBAfrXImV30y","Wildest Dreams",5,"1989 (Deluxe Edition)",5,0,1,0,0,0
"6wfugRLamFsTRbPcCpNnP7","How You Get The Girl",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"1kTPQnabROVkW9bUXdCGrB","This Love",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"2zfgVd034GlUvk7LqBHl6u","I Know Places",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"4bXCcoesMt8u99xMsbLr9U","Clean",0,"1989 (Deluxe Edition)",5,0,0,0,0,0
"6iWMI5oOhWrDbLbjmwTWFq","Wonderland",51,"1989 (Deluxe Edition)",5,0,0,1,0,0
"4A2LfnduSTsE8u0ecYROxE","You Are In Love",83,"1989 (Deluxe Edition)",5,0,0,1,0,0
"6rZVy6FIG7lSJQMFXHo12z","New Romantics",46,"1989 (Deluxe Edition)",5,0,1,1,0,0
"4JQm7ebhsrt10wmrP6AfXL","I Know Places",0,"1989 (Deluxe Edition)",5,1,0,1,0,0
"4TtyvyI42C0KFnbDZvNC8Y","I Wish You Would",0,"1989 (Deluxe Edition)",5,1,0,1,0,0
"0yisH8r0f3Mkq34kjzUlCV","Blank Space",1,"1989 (Deluxe Edition)",5,1,0,1,0,0
"2yLa0QULdQr0qAIvVwN6B5","...Ready For It?",4,"reputation",6,0,1,0,0,0
"2x0WlnmfG39ZuDmstl9xfX","End Game",18,"reputation",6,0,1,0,0,0
"4svZDCRz4cJoneBpjpx8DJ","I Did Something Bad",0,"reputation",6,0,0,0,0,0
"1R0a2iXumgCiFb7HEZ7gUE","Don't Blame Me",0,"reputation",6,0,0,0,0,0
"6NFyWDv5CjfwuzoCkw47Xf","Delicate",12,"reputation",6,0,1,0,0,0
"1P17dC1amhFzptugyAO7Il","Look What You Made Me Do",1,"reputation",6,0,1,0,0,0
"5PxFv9yJEg9dxvbZggykro","So It Goes...",0,"reputation",6,0,0,0,0,0
"1ZY1PqizIl78geGM4xWlEA","Gorgeous",13,"reputation",6,0,0,0,0,0
"0VE4kBnHJUgtMf0dy6DRmW","Getaway Car",0,"reputation",6,0,1,0,0,0
"7HuBDWi18s4aJM8UFnNheH","King Of My Heart",0,"reputation",6,0,0,0,0,0
"7I7JbDv63ZJJsSi24DyJrz","Dancing With Our Hands Tied",0,"reputation",6,0,0,0,0,0
"6oVxXO5oQ4pTpO8RSnkzvv","Dress",0,"reputation",6,0,0,0,0,0
"07NxDD1iKCHbAldceD7QLP","This Is Why We Can't Have Nice Things",0,"reputation",6,0,0,0,0,0
"1GwMQaZz6Au3QLDbjbMdme","Call It What You Want",27,"reputation",6,0,0,0,0,0
"7F5oktn5YOsR9eR5YsFtqb","New Year's Day",0,"reputation",6,0,1,0,0,0
"43rA71bccXFGD4C8GOpIlN","I Forgot That You Existed",28,"Lover",7,0,0,0,0,0
"1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer",29,"Lover",7,0,0,0,0,0
"1dGr1c8CrMLDpV6mPbImSI","Lover",10,"Lover",7,0,1,0,0,0
